# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=0
# stan_version_patch=1
# init=random
# seed=1562551564
# chain_id=4
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# refresh=20
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.65
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./rstan_doc_ex_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,mu,sigma,z.1.1,z.2.1,z.3.1,z.1.2,z.2.2,z.3.2,alpha
-16.2556,0.340271,0.62864,1,0,0.149064,1.03247,-1.64485,0.88252,0.538545,-0.0122176,1.4368,0.081945,0.213454
-17.4913,0.948932,0.62864,2,0,-0.164401,1.03053,-1.03602,1.08491,-1.8879,-0.524423,-0.440918,-0.57254,1.16511
-18.0824,0.838891,0.62864,2,0,-0.225941,0.970264,-1.74471,1.00637,-0.844469,0.400028,-0.96533,-0.0585901,0.10617
-18.1753,0.997091,0.62864,2,0,0.48971,1.38549,0.523744,-1.48041,1.00887,0.384298,1.16644,0.178545,1.52866
-18.6175,0.987366,0.62864,2,0,-0.0964571,1.15585,0.103714,0.408085,-2.06125,1.9632,0.648988,-0.346709,0.0927995
-18.745,0.92859,0.62864,2,0,0.039067,0.869846,0.18951,-0.690048,-0.369345,1.35504,1.15886,1.755,0.067475
-19.5763,0.8671,0.62864,2,0,0.201213,1.868,-0.0481412,0.639126,0.392624,-1.35281,-0.578183,-1.17067,1.16118
-25.7621,0.883459,0.62864,2,0,-0.924814,1.93603,1.13165,0.7517,1.69909,-1.76137,0.866601,1.02767,0.122604
# Elapsed Time: 0.004711 seconds (Warm-up)
#               0.004117 seconds (Sampling)
#               0.008828 seconds (Total)

